D.q410_varName,variety_type
SUPER303,EMWV
PBW443,NMWV
K9107,NMWV
DPW621_50,NMWV
SabourSamriddhi,NMWV
CBW38,NMWV
HD2967,NMWV
PBW502,NMWV
PBW343,NMWV
HD2733,NMWV
ShriRam 303,NMWV
ShriRam505,NMWV
HD3059,NMWV
PBW154,EMWV
Kedar,EMWV
OtherMalviya,EMWV
RR21,EMWV
LOK1,EMWV
PBW373,EMWV
SUPER172,EMWV
OtherMahico gold,EMWV
Gautam,EMWV
UP262,EMWV
OtherBauniya,EMWV
HUW234,EMWV
DBW17,EMWV
HI1563,EMWV
Kundan,EMWV
OtherLalli vall,EMWV
OtherLal bal,EMWV
Othershree ram,EMWV
Other1554,EMWV
OtherLallki  bali,EMWV
Otherradhika,EMWV
HD3086,EMWV
Otherlal Bahadur,EMWV
Othermaiko,EMWV
Othersuboi,EMWV
Other301,EMWV
HD2985,EMWV
Dhaulagiri,EMWV
OtherSriram303,EMWV
OtherShriram 303,EMWV
BL 4341,EMWV
Other323,EMWV
Baaz,EMWV
OtherBHU-25,EMWV
OtherMalbi,EMWV
SabourNirjal,EMWV
PBW550,EMWV
OtherSonali,EMWV
Local,EMWV
NL1,EMWV
Aditya,EMWV
OtherMughda,EMWV
K307,EMWV
OtherR R 21,EMWV
Othershreeram,EMWV
Other343,EMWV
OtherSri Ram,EMWV
Vijay,EMWV
Bhrikuti,EMWV
OtherSriram,EMWV
UP306,EMWV
DBW14,EMWV
OtherShreeram303,EMWV
WH711,EMWV
OtherGanga kabri,EMWV
OtherW47,EMWV
Other2285,EMWV
OtherWH,EMWV
OtherWh47,EMWV
OtherWh 47,EMWV
OtherWh67,EMWV
OtherLal bali,EMWV
OtherAzad,EMWV
OtherKedar,EMWV
OtherW H 47,EMWV
OtherW 47,EMWV
OtherSonalika,EMWV
OtherDeva,EMWV
WR544,EMWV
OtherAazad,EMWV
OtherParvati,EMWV
OtherSarwati,EMWV
WH1105,EMWV
OtherW h47,EMWV
OtherWH147,EMWV
OtherKanak sona,EMWV
OtherSharbati,EMWV
OtherHd2338,EMWV
OtherUnknown,EMWV
Ankur,EMWV
Other,EMWV
KW412,EMWV
PBW2076,EMWV
Dhanrekha,EMWV
Sonali,EMWV
OtherMicoGol,EMWV
HD2824,EMWV
Suryamukhi,EMWV
Maina,EMWV
Sonalika,EMWV
HD2781,EMWV
HD3118,EMWV
C306,EMWV
OtherPooja,EMWV
Prabhat,EMWV
Diamond,EMWV
OtherBansal,EMWV
OtherAnshu,EMWV
Unknown,EMWV
GK-7777,EMWV
BR26,EMWV
OtherDon't Remember,EMWV
Janaki,EMWV
Radha4,EMWV
NL2,EMWV
OtherLocal,EMWV
